day,Q1,Q2,Q3,Q4
Fri,3671779.307692307,14746890.923076924,24325438.46153846,36693049.21428572
Mon,920332.3846153846,4139068.923076923,8477171.307692308,11737455.384615384
Sat,5691315.692307692,14583474.846153846,24283524.076923076,38478324.384615384
Sun,3489096.923076923,10511715.307692308,17394227.923076924,27469862
Thu,741697.1666666666,3086818.769230769,5478406.642857143,12123291.846153846
Tue,980388.0769230768,3668348.307692307,7410617.769230769,11541928.923076924
Wed,1479142.2307692308,3442860.846153846,5855344.692307692,12674501.384615384
