day,Q1,Q2,Q3,Q4
Fri,25,28,32,31
Mon,23,26,31,30
Sat,25,28,32,32
Sun,25,28,32,32
Thu,22,27,31,30
Tue,23,26,31,29
Wed,23,26,31,30
